2025-05-20 16:10:50,693 INFO    MainThread:1407709 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-05-20 16:10:50,694 INFO    MainThread:1407709 [wandb_setup.py:_flush():67] Configure stats pid to 1407709
2025-05-20 16:10:50,694 INFO    MainThread:1407709 [wandb_setup.py:_flush():67] Loading settings from /speech/utkarsh/.config/wandb/settings
2025-05-20 16:10:50,694 INFO    MainThread:1407709 [wandb_setup.py:_flush():67] Loading settings from /speech/utkarsh/da6401_assignment3/wandb/settings
2025-05-20 16:10:50,694 INFO    MainThread:1407709 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-20 16:10:50,694 INFO    MainThread:1407709 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /speech/utkarsh/da6401_assignment3/wandb/run-20250520_161050-tcagzt58/logs/debug.log
2025-05-20 16:10:50,694 INFO    MainThread:1407709 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /speech/utkarsh/da6401_assignment3/wandb/run-20250520_161050-tcagzt58/logs/debug-internal.log
2025-05-20 16:10:50,694 INFO    MainThread:1407709 [wandb_init.py:init():781] calling init triggers
2025-05-20 16:10:50,694 INFO    MainThread:1407709 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'data_path': 'dakshina_dataset_v1.0/hi/lexicons/', 'embedding_size': 64, 'hidden_size': 128, 'num_encoder_layers': 1, 'num_decoder_layers': 1, 'encoder_dropout': 0.3, 'decoder_dropout': 0.3, 'cell_type': 'lstm', 'batch_size': 64, 'learning_rate': 0.001, 'n_epochs': 1, 'clip': 1.0, 'teacher_forcing_ratio': 0.5, 'patience': 5, 'min_delta': 0.0, 'beam_size': None, 'save_path': 'models_true/', 'model_name': 'best_model.pt', 'seed': 42, 'log_wandb': True, 'wandb_project': 'da6401_assignment3', 'wandb_name': None, 'use_attention': True, 'visualize_connectivity': True, '_wandb': {}}
2025-05-20 16:10:50,694 INFO    MainThread:1407709 [wandb_init.py:init():809] starting backend
2025-05-20 16:10:50,694 INFO    MainThread:1407709 [wandb_init.py:init():813] sending inform_init request
2025-05-20 16:10:50,721 INFO    MainThread:1407709 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-20 16:10:50,721 INFO    MainThread:1407709 [wandb_init.py:init():823] backend started and connected
2025-05-20 16:10:50,723 INFO    MainThread:1407709 [wandb_init.py:init():915] updated telemetry
2025-05-20 16:10:50,748 INFO    MainThread:1407709 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-05-20 16:10:52,541 INFO    MainThread:1407709 [wandb_init.py:init():1014] starting run threads in backend
2025-05-20 16:10:57,425 INFO    MainThread:1407709 [wandb_run.py:_console_start():2454] atexit reg
2025-05-20 16:10:57,426 INFO    MainThread:1407709 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-05-20 16:10:57,426 INFO    MainThread:1407709 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-05-20 16:10:57,426 INFO    MainThread:1407709 [wandb_run.py:_redirect():2394] Redirects installed.
2025-05-20 16:10:57,427 INFO    MainThread:1407709 [wandb_init.py:init():1056] run started, returning control to user process
